Article_ID,Article_ID2,Country,Disease_name,Disease_name2,Disease,PMID,First Author,Publication Year,DOI,Combining Authoryear (withformula),Authoryear,Ncases,Ncontrol,total,genus,Genus_mean_RA_disease,Genus_mean_RA_control,foldchange(calculation),foldchange,pvalue,,,,,,,,,,,,,,Age_disease,Age_control,Sequencing_type,16s_sequencing_region,Genus(original_,Genus_clean (original,Genus_classified,Genus_RA_in_disease,Genus_>1_studies(cancer_or_autoimmune),Genus_increased_HowMany_Cancer_study,Genus_decreased_HowMany_Cancer_study,Genus_increased_HowMany_Autoimmune_study,Genus_decreased_HowMany_Autoimmune_study,Genus_statistical_test,Genus_mean_RA_disease(original),Genus_mean_RA_control (original),Genus_effect_type,Genus_effect_type_quanititative_value,Genus_quantitative_data_source_in_paper,Genus_Pvalue(original)
Article_0042,Article_0042,China,SLE,SLE,Autoimmune,30870437,Wei F,2019,10.1371/journal.pone.0213063,"Wei F, 2019","Wei F, 2019",14,16,30,Prevotella,1.204000,13.78000,0.087373004,0.0874,0.04142000000000000,,,,,,,,,,,,,,40.71±13.85 years,38.63±14.50 years,16s,v3-v4,Prevotella_9,Prevotella,yes,decreased,yes,4,3,3,5,t-test (raw p value),1.204,13.78,Effect size,12.58,Tabble S5,0.041420
,Article_0042,China,SLE,SLE,Autoimmune,30870437,Wei F,2019,10.1371/journal.pone.0213063,"Wei F, 2019","Wei F, 2019",14,16,30,Roseburia,0.639200,2.18500,0.292540046,0.2925,0.02385000000000000,,,,,,,,,,,,,,40.71±13.85 years,38.63±14.50 years,16s,v3-v4,Roseburia,Roseburia,yes,decreased,yes,2,5,1,5,t-test (raw p value),0.6392,2.185,Effect size,1.546,,0.023850
,Article_0042,China,SLE,SLE,Autoimmune,30870437,Wei F,2019,10.1371/journal.pone.0213063,"Wei F, 2019","Wei F, 2019",14,16,30,Streptococcus,1.730000,0.08939,19.35339523,19.3534,0.03731000000000000,,,,,,,,,,,,,,40.71±13.85 years,38.63±14.50 years,16s,v3-v4,Streptococcus,Streptococcus,yes,increased,yes,4,1,6,1,t-test (raw p value),1.73,0.08939,Effect size,-1.641,,0.037310
,Article_0042,China,SLE,SLE,Autoimmune,30870437,Wei F,2019,10.1371/journal.pone.0213063,"Wei F, 2019","Wei F, 2019",14,16,30,Ruminococcaceae_unclassified,0.056870,0.28340,0.20067043,0.2007,0.03796000000000000,,,,,,,,,,,,,,40.71±13.85 years,38.63±14.50 years,16s,v3-v4,Ruminococcaceae_UCG-003,Ruminococcaceae_unclassified,no,decreased,yes,4,1,1,8,t-test (raw p value),0.05687,0.2834,Effect size,0.2265,,0.037960
,Article_0042,China,SLE,SLE,Autoimmune,30870437,Wei F,2019,10.1371/journal.pone.0213063,"Wei F, 2019","Wei F, 2019",14,16,30,Ruminococcaceae_unclassified,0.019230,0.31160,0.061713736,0.0617,0.01440000000000000,,,,,,,,,,,,,,40.71±13.85 years,38.63±14.50 years,16s,v3-v4,Ruminococcaceae_NK4A214_group,Ruminococcaceae_unclassified,no,decreased,yes,4,1,1,8,t-test (raw p value),0.01923,0.3116,Effect size,0.2924,,0.014400
,Article_0042,China,SLE,SLE,Autoimmune,30870437,Wei F,2019,10.1371/journal.pone.0213063,"Wei F, 2019","Wei F, 2019",14,16,30,Paraprevotella,0.007652,0.26960,0.028382789,0.0284,0.03352000000000000,,,,,,,,,,,,,,40.71±13.85 years,38.63±14.50 years,16s,v3-v4,Paraprevotella,Paraprevotella,yes,decreased,yes,2,0,0,3,t-test (raw p value),0.007652,0.2696,Effect size,0.2619,,0.033520
,Article_0042,China,SLE,SLE,Autoimmune,30870437,Wei F,2019,10.1371/journal.pone.0213063,"Wei F, 2019","Wei F, 2019",14,16,30,Ruminococcaceae_unclassified,0.041570,0.10280,0.404377432,0.4044,0.03027000000000000,,,,,,,,,,,,,,40.71±13.85 years,38.63±14.50 years,16s,v3-v4,Ruminococcaceae_UCG-013,Ruminococcaceae_unclassified,no,decreased,yes,4,1,1,8,t-test (raw p value),0.04157,0.1028,Effect size,0.06123,,0.030270
,Article_0042,China,SLE,SLE,Autoimmune,30870437,Wei F,2019,10.1371/journal.pone.0213063,"Wei F, 2019","Wei F, 2019",14,16,30,Ezakiella,0.000620,0.01411,0.043968816,0.0440,0.03409000000000000,,,,,,,,,,,,,,40.71±13.85 years,38.63±14.50 years,16s,v3-v4,Ezakiella,Ezakiella,yes,decreased,no,0,0,0,1,t-test (raw p value),0.0006204,0.01411,Effect size,0.01349,,0.034090
,Article_0042,China,SLE,SLE,Autoimmune,30870437,Wei F,2019,10.1371/journal.pone.0213063,"Wei F, 2019","Wei F, 2019",14,16,30,Porphyromonas,0.001034,0.01050,0.09847619,0.0985,0.02778000000000000,,,,,,,,,,,,,,40.71±13.85 years,38.63±14.50 years,16s,v3-v4,Porphyromonas,Porphyromonas,yes,decreased,yes,8,2,1,1,t-test (raw p value),0.001034,0.0105,Effect size,0.009466,,0.027780
Article_0074,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Lactonifactor,24.282003,1.35981,17.85692923,17.8569,0.00000000344448629,,,,,,,,,,,,,,47.3 years,32.4 years,16s,v4,Lactonifactor,Lactonifactor,yes,increased,no,0,0,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",24.2820031,1.359808441,not mentioned,not mentioned,,3.44E-09
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Faecalicoccus,178.582811,7.90476,22.591805,22.5918,0.00000010790717361,,,,,,,,,,,,,,47.3 years,32.4 years,16s,v4,Faecalicoccus,Faecalicoccus,yes,increased,no,0,0,1,0,"Kruskal-Wallis (adjusted p value), mean abundance",178.5828115,7.904760664,not mentioned,not mentioned,,1.08E-07
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Butyricicoccus,17.360361,154.14674,0.112622305,0.1126,0.00000394658110487,,,,,,,,,,,,,,47.3 years,32.4 years,16s,v4,Butyricicoccus,Butyricicoccus,yes,decreased,yes,0,2,0,4,"Kruskal-Wallis (adjusted p value), mean abundance",17.36036087,154.1467369,not mentioned,not mentioned,,3.95E-06
,Article_0074,Canada,Multiple sclerosis,Multiple sclerosis,Autoimmune,30545401,Forbes JD,2018,10.1186/s40168-018-0603-4,"Forbes JD, 2018","Forbes JD, 2018",19,23,42,Eggerthella,418.246609,66.23747,6.314350998,6.3144,0.00001420560628739,,,,,,,,,,,,,,47.3 years,32.4 years,16s,v4,Eggerthella,Eggerthella,yes,increased,yes,0,0,3,0,"Kruskal-Wallis (adjusted p value), mean abundance",418.2466093,66.23746597,not mentioned,not mentioned,,1.42E-05
